metric,case,bin_left,bin_right,density
minimum_interior_angle_deg,stochastic_dfn,0,2,0.000176968370926
minimum_interior_angle_deg,stochastic_dfn,2,4,0.000241320505808
minimum_interior_angle_deg,stochastic_dfn,4,6,0.000209144438367
minimum_interior_angle_deg,stochastic_dfn,6,8,0.00032176067441
minimum_interior_angle_deg,stochastic_dfn,8,10,0.000160880337205
minimum_interior_angle_deg,stochastic_dfn,10,12,0.000466552977895
minimum_interior_angle_deg,stochastic_dfn,12,14,0.000209144438367
minimum_interior_angle_deg,stochastic_dfn,14,16,0.000514817079057
minimum_interior_angle_deg,stochastic_dfn,16,18,0.000418288876733
minimum_interior_angle_deg,stochastic_dfn,18,20,0.00061134528138
minimum_interior_angle_deg,stochastic_dfn,20,22,0.00130313073136
minimum_interior_angle_deg,stochastic_dfn,22,24,0.00135139483252
minimum_interior_angle_deg,stochastic_dfn,24,26,0.00128704269764
minimum_interior_angle_deg,stochastic_dfn,26,28,0.00210753241739
minimum_interior_angle_deg,stochastic_dfn,28,30,0.002590173429
minimum_interior_angle_deg,stochastic_dfn,30,32,0.00400592039641
minimum_interior_angle_deg,stochastic_dfn,32,34,0.00593648444287
minimum_interior_angle_deg,stochastic_dfn,34,36,0.01024807748
minimum_interior_angle_deg,stochastic_dfn,36,38,0.0166993790019
minimum_interior_angle_deg,stochastic_dfn,38,40,0.0271887769877
minimum_interior_angle_deg,stochastic_dfn,40,42,0.0375494707037
minimum_interior_angle_deg,stochastic_dfn,42,44,0.0458991602046
minimum_interior_angle_deg,stochastic_dfn,44,46,0.0537501206603
minimum_interior_angle_deg,stochastic_dfn,46,48,0.0577077769555
minimum_interior_angle_deg,stochastic_dfn,48,50,0.0584800025741
minimum_interior_angle_deg,stochastic_dfn,50,52,0.0532031275138
minimum_interior_angle_deg,stochastic_dfn,52,54,0.044901702114
minimum_interior_angle_deg,stochastic_dfn,54,56,0.0369220373886
minimum_interior_angle_deg,stochastic_dfn,56,58,0.0254512693459
minimum_interior_angle_deg,stochastic_dfn,58,60,0.0100871971428
mesh_quality_qc,stochastic_dfn,0,0.0333333333333,0.00579169213939
mesh_quality_qc,stochastic_dfn,0.0333333333333,0.0666666666667,0.00579169213939
mesh_quality_qc,stochastic_dfn,0.0666666666667,0.1,0.0115833842788
mesh_quality_qc,stochastic_dfn,0.1,0.133333333333,0.00675697416262
mesh_quality_qc,stochastic_dfn,0.133333333333,0.166666666667,0.00482641011616
mesh_quality_qc,stochastic_dfn,0.166666666667,0.2,0.0144792303485
mesh_quality_qc,stochastic_dfn,0.2,0.233333333333,0.0115833842788
mesh_quality_qc,stochastic_dfn,0.233333333333,0.266666666667,0.00579169213939
mesh_quality_qc,stochastic_dfn,0.266666666667,0.3,0.00675697416262
mesh_quality_qc,stochastic_dfn,0.3,0.333333333333,0.0173750764182
mesh_quality_qc,stochastic_dfn,0.333333333333,0.366666666667,0.0144792303485
mesh_quality_qc,stochastic_dfn,0.366666666667,0.4,0.0115833842788
mesh_quality_qc,stochastic_dfn,0.4,0.433333333333,0.0154445123717
mesh_quality_qc,stochastic_dfn,0.433333333333,0.466666666667,0.0299237427202
mesh_quality_qc,stochastic_dfn,0.466666666667,0.5,0.0308890247434
mesh_quality_qc,stochastic_dfn,0.5,0.533333333333,0.025097332604
mesh_quality_qc,stochastic_dfn,0.533333333333,0.566666666667,0.0608127674636
mesh_quality_qc,stochastic_dfn,0.566666666667,0.6,0.0888059461373
mesh_quality_qc,stochastic_dfn,0.6,0.633333333333,0.0810836899514
mesh_quality_qc,stochastic_dfn,0.633333333333,0.666666666667,0.124521380997
mesh_quality_qc,stochastic_dfn,0.666666666667,0.7,0.143827021461
mesh_quality_qc,stochastic_dfn,0.7,0.733333333333,0.208500917018
mesh_quality_qc,stochastic_dfn,0.733333333333,0.766666666667,0.372598860967
mesh_quality_qc,stochastic_dfn,0.766666666667,0.8,0.615849930821
mesh_quality_qc,stochastic_dfn,0.8,0.833333333333,1.09366453232
mesh_quality_qc,stochastic_dfn,0.833333333333,0.866666666667,1.79638984523
mesh_quality_qc,stochastic_dfn,0.866666666667,0.9,2.96438109334
mesh_quality_qc,stochastic_dfn,0.9,0.933333333333,4.83509765436
mesh_quality_qc,stochastic_dfn,0.933333333333,0.966666666667,7.19424691914
mesh_quality_qc,stochastic_dfn,0.966666666667,1,10.2020657035
minimum_interior_angle_deg,image_area_1,0,2,0.000524297028064
minimum_interior_angle_deg,image_area_1,2,4,0.000303540384668
minimum_interior_angle_deg,image_area_1,4,6,0.000579486188912
minimum_interior_angle_deg,image_area_1,6,8,0.000386324125942
minimum_interior_angle_deg,image_area_1,8,10,0.000496702447639
minimum_interior_angle_deg,image_area_1,10,12,0.000427715996578
minimum_interior_angle_deg,image_area_1,12,14,0.000469107867215
minimum_interior_angle_deg,image_area_1,14,16,0.000703661800822
minimum_interior_angle_deg,image_area_1,16,18,0.000772648251883
minimum_interior_angle_deg,image_area_1,18,20,0.000965810314854
minimum_interior_angle_deg,image_area_1,20,22,0.00111758050719
minimum_interior_angle_deg,image_area_1,22,24,0.00146251276249
minimum_interior_angle_deg,image_area_1,24,26,0.00151770192334
minimum_interior_angle_deg,image_area_1,26,28,0.00255249868926
minimum_interior_angle_deg,image_area_1,28,30,0.00332514694114
minimum_interior_angle_deg,image_area_1,30,32,0.00499461905682
minimum_interior_angle_deg,image_area_1,32,34,0.00692623968653
minimum_interior_angle_deg,image_area_1,34,36,0.0107618863655
minimum_interior_angle_deg,image_area_1,36,38,0.0162118159993
minimum_interior_angle_deg,image_area_1,38,40,0.024379811805
minimum_interior_angle_deg,image_area_1,40,42,0.0353210629432
minimum_interior_angle_deg,image_area_1,42,44,0.0480559618091
minimum_interior_angle_deg,image_area_1,44,46,0.0539887966003
minimum_interior_angle_deg,image_area_1,46,48,0.057672673087
minimum_interior_angle_deg,image_area_1,48,50,0.0557824443279
minimum_interior_angle_deg,image_area_1,50,52,0.0517260410055
minimum_interior_angle_deg,image_area_1,52,54,0.0480283672287
minimum_interior_angle_deg,image_area_1,54,56,0.0368939540274
minimum_interior_angle_deg,image_area_1,56,58,0.0243246226441
minimum_interior_angle_deg,image_area_1,58,60,0.00932696818345
mesh_quality_qc,image_area_1,0,0.0333333333333,0.0273186346202
mesh_quality_qc,image_area_1,0.0333333333333,0.0666666666667,0.00745053671459
mesh_quality_qc,image_area_1,0.0666666666667,0.1,0.00745053671459
mesh_quality_qc,image_area_1,0.1,0.133333333333,0.0198680979056
mesh_quality_qc,image_area_1,0.133333333333,0.166666666667,0.0223516101438
mesh_quality_qc,image_area_1,0.166666666667,0.2,0.0182124230801
mesh_quality_qc,image_area_1,0.2,0.233333333333,0.0115897237782
mesh_quality_qc,image_area_1,0.233333333333,0.266666666667,0.0165567482546
mesh_quality_qc,image_area_1,0.266666666667,0.3,0.0198680979056
mesh_quality_qc,image_area_1,0.3,0.333333333333,0.024835122382
mesh_quality_qc,image_area_1,0.333333333333,0.366666666667,0.0190402604928
mesh_quality_qc,image_area_1,0.366666666667,0.4,0.0281464720329
mesh_quality_qc,image_area_1,0.4,0.433333333333,0.0264907972074
mesh_quality_qc,image_area_1,0.433333333333,0.466666666667,0.033941333922
mesh_quality_qc,image_area_1,0.466666666667,0.5,0.0447032202875
mesh_quality_qc,image_area_1,0.5,0.533333333333,0.0629156433676
mesh_quality_qc,image_area_1,0.533333333333,0.566666666667,0.071194017495
mesh_quality_qc,image_area_1,0.566666666667,0.6,0.0844394160987
mesh_quality_qc,image_area_1,0.6,0.633333333333,0.092717790226
mesh_quality_qc,image_area_1,0.633333333333,0.666666666667,0.129142636386
mesh_quality_qc,image_area_1,0.666666666667,0.7,0.181296393388
mesh_quality_qc,image_area_1,0.7,0.733333333333,0.292226606694
mesh_quality_qc,image_area_1,0.733333333333,0.766666666667,0.401501145175
mesh_quality_qc,image_area_1,0.766666666667,0.8,0.615911035073
mesh_quality_qc,image_area_1,0.8,0.833333333333,1.00002759458
mesh_quality_qc,image_area_1,0.833333333333,0.866666666667,1.73018019261
mesh_quality_qc,image_area_1,0.866666666667,0.9,2.84362151273
mesh_quality_qc,image_area_1,0.9,0.933333333333,4.88341289771
mesh_quality_qc,image_area_1,0.933333333333,0.966666666667,7.0283396341
mesh_quality_qc,image_area_1,0.966666666667,1,10.2552498689
minimum_interior_angle_deg,image_area_2,0,2,0.000679440141324
minimum_interior_angle_deg,image_area_2,2,4,0.000237804049463
minimum_interior_angle_deg,image_area_2,4,6,0.000271776056529
minimum_interior_angle_deg,image_area_2,6,8,0.00022081804593
minimum_interior_angle_deg,image_area_2,8,10,0.000305748063596
minimum_interior_angle_deg,image_area_2,10,12,0.000407664084794
minimum_interior_angle_deg,image_area_2,12,14,0.000475608098926
minimum_interior_angle_deg,image_area_2,14,16,0.00049259410246
minimum_interior_angle_deg,image_area_2,16,18,0.000526566109526
minimum_interior_angle_deg,image_area_2,18,20,0.000628482130724
minimum_interior_angle_deg,image_area_2,20,22,0.000832314173121
minimum_interior_angle_deg,image_area_2,22,24,0.00101916021199
minimum_interior_angle_deg,image_area_2,24,26,0.00108710422612
minimum_interior_angle_deg,image_area_2,26,28,0.00191941839924
minimum_interior_angle_deg,image_area_2,28,30,0.00290460660416
minimum_interior_angle_deg,image_area_2,30,32,0.00433143090094
minimum_interior_angle_deg,image_area_2,32,34,0.0067264573991
minimum_interior_angle_deg,image_area_2,34,36,0.0091894279114
minimum_interior_angle_deg,image_area_2,36,38,0.014115368936
minimum_interior_angle_deg,image_area_2,38,40,0.0246127191194
minimum_interior_angle_deg,image_area_2,40,42,0.0363670335643
minimum_interior_angle_deg,image_area_2,42,44,0.0464227476559
minimum_interior_angle_deg,image_area_2,44,46,0.0544401413235
minimum_interior_angle_deg,image_area_2,46,48,0.0586696562033
minimum_interior_angle_deg,image_area_2,48,50,0.0568861258323
minimum_interior_angle_deg,image_area_2,50,52,0.0537267291752
minimum_interior_angle_deg,image_area_2,52,54,0.0471021877973
minimum_interior_angle_deg,image_area_2,54,56,0.0395264302215
minimum_interior_angle_deg,image_area_2,56,58,0.0253261312678
minimum_interior_angle_deg,image_area_2,58,60,0.010548308194
mesh_quality_qc,image_area_2,0,0.0333333333333,0.0356706074195
mesh_quality_qc,image_area_2,0.0333333333333,0.0666666666667,0.00815328169588
mesh_quality_qc,image_area_2,0.0666666666667,0.1,0.0112107623318
mesh_quality_qc,image_area_2,0.1,0.133333333333,0.00509580105993
mesh_quality_qc,image_area_2,0.133333333333,0.166666666667,0.00815328169588
mesh_quality_qc,image_area_2,0.166666666667,0.2,0.0122299225438
mesh_quality_qc,image_area_2,0.2,0.233333333333,0.00917244190787
mesh_quality_qc,image_area_2,0.233333333333,0.266666666667,0.0122299225438
mesh_quality_qc,image_area_2,0.266666666667,0.3,0.0142682429678
mesh_quality_qc,image_area_2,0.3,0.333333333333,0.0142682429678
mesh_quality_qc,image_area_2,0.333333333333,0.366666666667,0.0163065633918
mesh_quality_qc,image_area_2,0.366666666667,0.4,0.0203832042397
mesh_quality_qc,image_area_2,0.4,0.433333333333,0.0295556461476
mesh_quality_qc,image_area_2,0.433333333333,0.466666666667,0.0152874031798
mesh_quality_qc,image_area_2,0.466666666667,0.5,0.0254790052996
mesh_quality_qc,image_area_2,0.5,0.533333333333,0.0346514472075
mesh_quality_qc,image_area_2,0.533333333333,0.566666666667,0.0468813697513
mesh_quality_qc,image_area_2,0.566666666667,0.6,0.069302894415
mesh_quality_qc,image_area_2,0.6,0.633333333333,0.071341214839
mesh_quality_qc,image_area_2,0.633333333333,0.666666666667,0.0947818997146
mesh_quality_qc,image_area_2,0.666666666667,0.7,0.166123114554
mesh_quality_qc,image_area_2,0.7,0.733333333333,0.218100285365
mesh_quality_qc,image_area_2,0.733333333333,0.766666666667,0.387280880554
mesh_quality_qc,image_area_2,0.766666666667,0.8,0.636975132491
mesh_quality_qc,image_area_2,0.8,0.833333333333,0.932531593967
mesh_quality_qc,image_area_2,0.833333333333,0.866666666667,1.55320016307
mesh_quality_qc,image_area_2,0.866666666667,0.9,2.84243783123
mesh_quality_qc,image_area_2,0.9,0.933333333333,4.93783122707
mesh_quality_qc,image_area_2,0.933333333333,0.966666666667,7.23807582552
mesh_quality_qc,image_area_2,0.966666666667,1,10.5330207909
